ts_utc,gmm_cluster_label,gmm_previous_cluster_label,gmm_shift_flag,gmm_shift_probability_delta,gmm_posterior_l1_delta,gmm_posterior_probability,gmm_confidence_score,gmm_posterior_entropy,gmm_entropy_confidence,gmm_is_low_confidence,confidence_score,confidence_bucket,fallback_flag,fallback_reason,predicted_label
2025-02-03T05:00:00Z,0,,False,,,0.9999999999999978,0.9999999999999978,5.526426267790634e-11,0.9999999999496963,False,0.9999999999999978,high,False,,gmm_cluster_0
2025-02-04T05:00:00Z,0,0,False,1.9207635482132446e-11,3.8415300860445166e-11,0.9999999999807901,0.9999999999807901,5.208519744350802e-10,0.9999999995259001,False,0.9999999999807901,high,False,,gmm_cluster_0
2025-02-05T05:00:00Z,0,0,False,6.205458369379357e-11,1.2410940688691898e-10,0.9999999999187356,0.9999999999187356,1.996936949164257e-09,0.9999999981823097,False,0.9999999999187356,high,False,,gmm_cluster_0
2025-02-06T05:00:00Z,0,0,False,3.719236030264028e-11,7.43847574600525e-11,0.9999999999559279,0.9999999999559279,1.1226089112622253e-09,0.9999999989781573,False,0.9999999999559279,high,False,,gmm_cluster_0
2025-02-07T05:00:00Z,0,0,False,3.540164161819348e-09,7.080328403119353e-09,0.9999999964157638,0.9999999964157638,7.331350763943157e-08,0.9999999332671695,False,0.9999999964157638,high,False,,gmm_cluster_0
2025-02-10T05:00:00Z,0,0,False,3.584236019094078e-09,7.168472128702727e-09,0.9999999999999998,0.9999999999999998,5.526226427646202e-11,0.9999999999496981,False,0.9999999999999998,high,False,,gmm_cluster_0
2025-02-11T05:00:00Z,0,0,False,8.659739592076221e-15,1.7418600874895732e-14,0.9999999999999911,0.9999999999999911,5.527092401605409e-11,0.9999999999496902,False,0.9999999999999911,high,False,,gmm_cluster_0
2025-02-12T05:00:00Z,0,0,False,6.661338147750939e-16,1.2714189316071255e-15,0.9999999999999905,0.9999999999999905,5.527159014986887e-11,0.9999999999496896,False,0.9999999999999905,high,False,,gmm_cluster_0
2025-02-13T05:00:00Z,0,0,False,1.7763568394002505e-15,3.5701889977556796e-15,0.9999999999999922,0.9999999999999922,5.526981379302947e-11,0.9999999999496912,False,0.9999999999999922,high,False,,gmm_cluster_0
2025-02-14T05:00:00Z,0,0,False,6.217248937900877e-15,1.2384420994683212e-14,0.9999999999999984,0.9999999999999984,5.526359654409157e-11,0.9999999999496969,False,0.9999999999999984,high,False,,gmm_cluster_0
2025-02-18T05:00:00Z,0,0,False,8.881784197001252e-16,1.8646150130882067e-15,0.9999999999999993,0.9999999999999993,5.526270836567187e-11,0.9999999999496977,False,0.9999999999999993,high,False,,gmm_cluster_0
2025-02-19T05:00:00Z,0,0,False,2.886579864025407e-15,6.537722121682316e-15,0.9999999999999964,0.9999999999999964,5.526559494553589e-11,0.9999999999496951,False,0.9999999999999964,high,False,,gmm_cluster_0
2025-02-20T05:00:00Z,0,0,False,1.3322676295501878e-15,8.836996147443991e-15,0.9999999999999951,0.9999999999999951,5.526692721316544e-11,0.9999999999496939,False,0.9999999999999951,high,False,,gmm_cluster_0
2025-02-21T05:00:00Z,0,0,False,6.48452957996426e-10,1.2969058823055417e-09,0.9999999993515422,0.9999999993515422,1.4395132268042191e-08,0.9999999868969859,False,0.9999999993515422,high,False,,gmm_cluster_0
2025-02-24T05:00:00Z,0,0,False,1.59041446678998e-10,3.1808347748934476e-10,0.9999999991925007,0.9999999991925007,1.7741806812225182e-08,0.9999999838507115,False,0.9999999991925007,high,False,,gmm_cluster_0
2025-02-25T05:00:00Z,0,0,False,7.8619971644045e-09,1.5723994364662507e-08,0.9999999913305035,0.9999999913305035,1.749744833876028e-07,0.9999998407313616,False,0.9999999913305035,high,False,,gmm_cluster_0
2025-02-26T05:00:00Z,0,0,False,2.826961331692246e-09,9.490708392731552e-09,0.9999999941574649,0.9999999941574649,1.1961836714637525e-07,0.99999989111867,False,0.9999999941574649,high,False,,gmm_cluster_0
2025-02-27T05:00:00Z,0,0,False,5.964168703354034e-08,1.2168830328294816e-07,0.9999999345157778,0.9999999345157778,1.1489628689047944e-06,0.9999989541689268,False,0.9999999345157778,high,False,,gmm_cluster_0
2025-02-28T05:00:00Z,0,0,False,0.000699662293766945,0.0013993245875337252,0.9993002722220109,0.9993002722220109,0.005783037599416003,0.9947360523279537,False,0.9993002722220109,high,False,,gmm_cluster_0
2025-03-03T05:00:00Z,2,0,True,0.7534016795753092,1.5068040012944186,0.7541013939593669,0.7541013939593669,0.5577891329414214,0.49227845101054646,False,0.7541013939593669,high,False,,gmm_cluster_2
2025-03-04T05:00:00Z,2,2,False,0.24587894278305122,0.49175788556610267,0.9999803367424182,0.9999803367424182,0.00023274925216663426,0.9997881425007099,False,0.9999803367424182,high,False,,gmm_cluster_2
2025-03-05T05:00:00Z,2,2,False,0.0012333901460487295,0.002466780292097312,0.9987469465963694,0.9987469465963694,0.00962538711600034,0.9912385950755479,False,0.9987469465963694,high,False,,gmm_cluster_2
2025-03-06T05:00:00Z,2,2,False,0.0012524527947285202,0.002504906040804864,0.9999993993910979,0.9999993993910979,9.206857365562802e-06,0.9999916195572719,False,0.9999993993910979,high,False,,gmm_cluster_2
2025-03-07T05:00:00Z,2,2,False,4.427448965116376e-06,8.855433236245482e-06,0.9999949719421328,0.9999949719421328,6.637277600318213e-05,0.9999395848957018,False,0.9999949719421328,high,False,,gmm_cluster_2
2025-03-10T04:00:00Z,2,2,False,5.028041731636179e-06,1.0056083463389252e-05,0.9999999999838645,0.9999999999838645,4.4473195678694623e-10,0.9999999995951875,False,0.9999999999838645,high,False,,gmm_cluster_2
2025-03-11T04:00:00Z,2,2,False,2.9504532150781415e-10,5.900906095499751e-10,0.9999999996888191,0.9999999996888191,7.150759136631906e-09,0.9999999934910986,False,0.9999999996888191,high,False,,gmm_cluster_2
2025-03-12T04:00:00Z,2,2,False,1.1807628841342677e-07,2.3615257706673374e-07,0.9999998816125307,0.9999998816125307,2.006612708081088e-06,0.9999981735024005,False,0.9999998816125307,high,False,,gmm_cluster_2
2025-03-13T04:00:00Z,2,2,False,1.1838565738830908e-07,2.3677131453003102e-07,0.9999999999981881,0.9999999999981881,7.843907997279275e-11,0.9999999999286017,False,0.9999999999981881,high,False,,gmm_cluster_2
2025-03-14T04:00:00Z,2,2,False,3.789867086823051e-09,7.57973364072128e-09,0.999999996208321,0.999999996208321,7.734169418829085e-08,0.9999999296005561,False,0.999999996208321,high,False,,gmm_cluster_2
2025-03-17T04:00:00Z,2,2,False,1.6278217873644252e-07,3.2556435762512746e-07,0.9999998334261423,0.9999998334261423,2.7664574341065937e-06,0.9999974818619247,False,0.9999998334261423,high,False,,gmm_cluster_2
2025-03-18T04:00:00Z,2,2,False,1.621507997873195e-07,3.243015994018913e-07,0.9999999955769421,0.9999999955769421,8.9534555525748e-08,0.9999999185021354,False,0.9999999955769421,high,False,,gmm_cluster_2
2025-03-19T04:00:00Z,2,2,False,4.07159006265978e-06,8.143180125334983e-06,0.9999959239868794,0.9999959239868794,5.46609499053712e-05,0.9999502454592315,False,0.9999959239868794,high,False,,gmm_cluster_2
2025-03-20T04:00:00Z,2,2,False,2.6677006610409393e-06,5.335401322347458e-06,0.9999985916875405,0.9999985916875405,2.0382699619645907e-05,0.9999814468672616,False,0.9999985916875405,high,False,,gmm_cluster_2
2025-03-21T04:00:00Z,2,2,False,3.1781759529669884e-06,6.356351906051858e-06,0.9999954135115875,0.9999954135115875,6.096543678396404e-05,0.9999445068679708,False,0.9999954135115875,high,False,,gmm_cluster_2
2025-03-24T04:00:00Z,2,2,False,0.0011562027905566152,0.0023124055811133623,0.9988392107210309,0.9988392107210309,0.009005489701326643,0.9918028500188685,False,0.9988392107210309,high,False,,gmm_cluster_2
2025-03-25T04:00:00Z,2,2,False,0.0018974978207737525,0.0037949956415477114,0.9969417129002571,0.9969417129002571,0.020760783161648422,0.9811027207907737,False,0.9969417129002571,high,False,,gmm_cluster_2
2025-03-26T04:00:00Z,2,2,False,0.0030516598033414333,0.006103319606683366,0.9999933727035986,0.9999933727035986,8.56532628104397e-05,0.9999220350403013,False,0.9999933727035986,high,False,,gmm_cluster_2
2025-03-27T04:00:00Z,2,2,False,6.415015095906362e-06,1.2830030191603706e-05,0.9999997877186945,0.9999997877186945,3.474086221855743e-06,0.9999968377504442,False,0.9999997877186945,high,False,,gmm_cluster_2
2025-03-28T04:00:00Z,2,2,False,2.1220665369359182e-07,4.2441330742455865e-07,0.9999999999253482,0.9999999999253482,1.8430286353309622e-09,0.999999998322403,False,0.9999999999253482,high,False,,gmm_cluster_2
2025-03-31T04:00:00Z,2,2,False,2.2704105262505436e-10,4.540820431219847e-10,0.9999999996983071,0.9999999996983071,6.942917219020626e-09,0.9999999936802844,False,0.9999999996983071,high,False,,gmm_cluster_2
2025-04-01T04:00:00Z,2,2,False,2.2745005878732627e-10,5.61136038150875e-10,0.9999999999257572,0.9999999999257572,1.850189041127796e-09,0.9999999983158854,False,0.9999999999257572,high,False,,gmm_cluster_2
2025-04-02T04:00:00Z,2,2,False,2.0452937121717696e-09,4.090587818349979e-09,0.9999999978804635,0.9999999978804635,4.591173773850316e-08,0.9999999582093353,False,0.9999999978804635,high,False,,gmm_cluster_2
2025-04-03T04:00:00Z,2,2,False,2.11951567408164e-09,4.239031593261761e-09,0.9999999999999791,0.9999999999999791,5.5282914424720045e-11,0.9999999999496794,False,0.9999999999999791,high,False,,gmm_cluster_2
2025-04-04T04:00:00Z,2,2,False,2.0872192862952943e-14,4.159968593065886e-14,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_2
2025-04-07T04:00:00Z,2,2,False,0.0,1.170709030347557e-22,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_2
2025-04-08T04:00:00Z,2,2,False,0.0,2.5970262195393766e-22,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_2
2025-04-09T04:00:00Z,2,2,False,1.4596062136718047e-09,2.9192126172569773e-09,0.9999999985403938,0.9999999985403938,3.118307405095602e-08,0.9999999716159428,False,0.9999999985403938,high,False,,gmm_cluster_2
2025-04-10T04:00:00Z,2,2,False,1.4595884501034107e-09,2.9191773933148953e-09,0.9999999999999822,0.9999999999999822,5.5279805800251094e-11,0.9999999999496821,False,0.9999999999999822,high,False,,gmm_cluster_2
2025-04-11T04:00:00Z,2,2,False,3.11928260998684e-12,6.238803148360772e-12,0.999999999996863,0.999999999996863,1.1385966566931047e-10,0.9999999998963605,False,0.999999999996863,high,False,,gmm_cluster_2
2025-04-14T04:00:00Z,2,2,False,1.5932588581790696e-11,3.186505543735832e-11,0.9999999999809304,0.9999999999809304,5.173905699600702e-10,0.9999999995290508,False,0.9999999999809304,high,False,,gmm_cluster_2
2025-04-15T04:00:00Z,2,2,False,2.708810953322427e-11,5.417660638626591e-11,0.9999999999538423,0.9999999999538423,1.1722994748698305e-09,0.999999998932927,False,0.9999999999538423,high,False,,gmm_cluster_2
2025-04-16T04:00:00Z,2,2,False,4.6123105335027503e-11,9.22463086016788e-11,0.9999999999999654,0.9999999999999654,5.5296681190225397e-11,0.9999999999496668,False,0.9999999999999654,high,False,,gmm_cluster_2
2025-04-17T04:00:00Z,2,2,False,4.765077221691172e-13,9.528967878601538e-13,0.9999999999994889,0.9999999999994889,5.5773188912394385e-11,0.999999999949233,False,0.9999999999994889,high,False,,gmm_cluster_2
2025-04-21T04:00:00Z,2,2,False,5.093703236980218e-13,1.0187421916340643e-12,0.9999999999999982,0.9999999999999982,5.526381858869649e-11,0.9999999999496967,False,0.9999999999999982,high,False,,gmm_cluster_2
2025-04-22T04:00:00Z,2,2,False,1.1812772982011666e-13,2.363354528895036e-13,0.9999999999998801,0.9999999999998801,5.53819463185166e-11,0.9999999999495892,False,0.9999999999998801,high,False,,gmm_cluster_2
2025-04-23T04:00:00Z,2,2,False,2.4805046905385097e-11,4.9610005070120146e-11,0.999999999975075,0.999999999975075,6.61101811615986e-10,0.9999999993982392,False,0.999999999975075,high,False,,gmm_cluster_2
2025-04-24T04:00:00Z,2,2,False,8.492633263301741e-10,1.698526607466239e-09,0.9999999991258117,0.9999999991258117,1.913539685996032e-08,0.9999999825822111,False,0.9999999991258117,high,False,,gmm_cluster_2
2025-04-25T04:00:00Z,2,2,False,5.486722187697524e-12,1.097346920323199e-11,0.9999999991312984,0.9999999991312984,1.9020938567443335e-08,0.9999999826863956,False,0.9999999991312984,high,False,,gmm_cluster_2
2025-04-28T04:00:00Z,2,2,False,4.802973130324517e-09,9.605946388968719e-09,0.9999999943283253,0.9999999943283253,1.1339182538264568e-07,0.9999998967863125,False,0.9999999943283253,high,False,,gmm_cluster_2
2025-04-29T04:00:00Z,2,2,False,4.92904916882253e-09,9.858098310766807e-09,0.9999999992573745,0.9999999992573745,1.63808618660185e-08,0.999999985089497,False,0.9999999992573745,high,False,,gmm_cluster_2
2025-04-30T04:00:00Z,2,2,False,2.355328376779653e-09,4.710656649326861e-09,0.9999999969020461,0.9999999969020461,6.382232000048651e-08,0.9999999419064208,False,0.9999999969020461,high,False,,gmm_cluster_2
2025-05-01T04:00:00Z,2,2,False,9.870352535301663e-09,1.9740704966975618e-08,0.9999999870316936,0.9999999870316936,2.4851020204623517e-07,0.9999997737962659,False,0.9999999870316936,high,False,,gmm_cluster_2
2025-05-02T04:00:00Z,1,2,True,0.9999999700958082,1.9999999401916169,0.9999999830641145,0.9999999830641145,3.2001137800944504e-07,0.9999997087130907,False,0.9999999830641145,high,False,,gmm_cluster_1
2025-05-05T04:00:00Z,1,1,False,1.6935885471802692e-08,3.387177023814271e-08,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-06T04:00:00Z,1,1,False,0.0,1.2169581040977047e-25,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-07T04:00:00Z,1,1,False,0.0,1.6443843336040026e-25,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-08T04:00:00Z,1,1,False,0.0,2.2480272942811253e-26,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-09T04:00:00Z,1,1,False,0.0,7.940257809057167e-23,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-12T04:00:00Z,1,1,False,0.0,7.942503649037948e-23,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-13T04:00:00Z,1,1,False,0.0,1.0812034991505802e-25,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-14T04:00:00Z,1,1,False,0.0,1.3202217109388784e-26,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-15T04:00:00Z,1,1,False,0.0,9.492114356898724e-26,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-16T04:00:00Z,1,1,False,0.0,9.708948048151768e-28,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-19T04:00:00Z,1,1,False,0.0,9.643681527286507e-28,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-20T04:00:00Z,1,1,False,0.0,1.3467234098655906e-23,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-21T04:00:00Z,1,1,False,0.0,1.8080180404001644e-24,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-22T04:00:00Z,1,1,False,0.0,4.82425143533074e-18,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-23T04:00:00Z,1,1,False,0.0,2.763635272815168e-18,1.0,1.0,5.526204223185709e-11,0.9999999999496983,False,1.0,high,False,,gmm_cluster_1
2025-05-27T04:00:00Z,1,1,False,1.7763568394002505e-15,3.6426837863683995e-15,0.9999999999999982,0.9999999999999982,5.526381858869649e-11,0.9999999999496967,False,0.9999999999999982,high,False,,gmm_cluster_1
2025-05-28T04:00:00Z,1,1,False,1.3322676295501878e-15,2.666101357140866e-15,0.9999999999999996,0.9999999999999996,5.526248632106694e-11,0.9999999999496979,False,0.9999999999999996,high,False,,gmm_cluster_1
2025-05-29T04:00:00Z,1,1,False,2.220446049250313e-15,4.427477956476292e-15,0.9999999999999973,0.9999999999999973,5.526470676711619e-11,0.9999999999496959,False,0.9999999999999973,high,False,,gmm_cluster_1
2025-05-30T04:00:00Z,1,1,False,4.3076653355456074e-14,8.595978057994788e-14,0.9999999999999543,0.9999999999999543,5.530778342047165e-11,0.9999999999496567,False,0.9999999999999543,high,False,,gmm_cluster_1
2025-06-02T04:00:00Z,1,1,False,3.886269084318883e-11,7.772550058820737e-11,0.9999999999610916,0.9999999999610916,9.991673639801735e-10,0.9999999990905186,False,0.9999999999610916,high,False,,gmm_cluster_1
2025-06-03T04:00:00Z,1,1,False,2.510924801413239e-11,5.021840616097499e-11,0.9999999999862008,0.9999999999862008,3.865006295029009e-10,0.999999999648192,False,0.9999999999862008,high,False,,gmm_cluster_1
2025-06-04T04:00:00Z,1,1,False,9.549694368615746e-12,1.9099515226040184e-11,0.9999999999957505,0.9999999999957505,1.431493700865382e-10,0.9999999998696998,False,0.9999999999957505,high,False,,gmm_cluster_1
2025-06-05T04:00:00Z,1,1,False,3.3422153933315712e-12,6.68420291088715e-12,0.9999999999990927,0.9999999999990927,5.616931648758036e-11,0.9999999999488725,False,0.9999999999990927,high,False,,gmm_cluster_1
2025-06-06T04:00:00Z,1,1,False,4.4190917591890866e-10,8.838182318897368e-10,0.9999999995571835,0.9999999995571835,1.0007770361604052e-08,0.9999999908905348,False,0.9999999995571835,high,False,,gmm_cluster_1
2025-06-09T04:00:00Z,1,1,False,1.908534019712249e-08,3.817068013338086e-08,0.9999999804718434,0.9999999804718434,3.6620806998639293e-07,0.9999996666630496,False,0.9999999804718434,high,False,,gmm_cluster_1
2025-06-10T04:00:00Z,1,1,False,0.02473984271576979,0.049479685431539605,0.9752601377560736,0.9752601377560736,0.11595242560695822,0.8944555537900165,False,0.9752601377560736,high,False,,gmm_cluster_1
2025-06-11T04:00:00Z,1,1,False,0.21291875308684116,0.42583750617368266,0.7623413846692324,0.7623413846692324,0.5483660007194652,0.5008557555966623,False,0.7623413846692324,high,False,,gmm_cluster_1
2025-06-12T04:00:00Z,1,1,False,0.22444231762444888,0.4488846352488977,0.9867837022936813,0.9867837022936813,0.07030630387829875,0.936004444330826,False,0.9867837022936813,high,False,,gmm_cluster_1
2025-06-13T04:00:00Z,1,1,False,0.013203180617987975,0.026406361235976374,0.9999868829116693,0.9999868829116693,0.00016057402091742887,0.9998538392273838,False,0.9999868829116693,high,False,,gmm_cluster_1
2025-06-16T04:00:00Z,1,1,False,0.0012505486412166533,0.002501097282433619,0.9987363342704526,0.9987363342704526,0.009696241591031553,0.9911741005529925,False,0.9987363342704526,high,False,,gmm_cluster_1
2025-06-17T04:00:00Z,1,1,False,0.0009618542154079535,0.0019237084308160364,0.9996981884858606,0.9996981884858606,0.0027481619547332706,0.9974985151876783,False,0.9996981884858606,high,False,,gmm_cluster_1
2025-06-18T04:00:00Z,1,1,False,0.0009686866506848357,0.0019373733013695674,0.9987295018351757,0.9987295018351757,0.009741812376721124,0.9911326202362696,False,0.9987295018351757,high,False,,gmm_cluster_1
2025-06-20T04:00:00Z,1,1,False,0.08392663890904917,0.16785327781809842,0.9148028629261266,0.9148028629261266,0.29128268051255257,0.734863078160462,False,0.9148028629261266,high,False,,gmm_cluster_1
2025-06-23T04:00:00Z,0,1,True,0.4895366068140216,0.9790733639881335,0.5747337396051178,0.5747337396051178,0.6819362596854022,0.3792748663751614,False,0.5747337396051178,medium,False,,gmm_cluster_0
2025-06-24T04:00:00Z,0,0,False,0.42301019821160757,0.8460211717321402,0.9977439378167253,0.9977439378167253,0.016006690893675016,0.9854300820600864,False,0.9977439378167253,high,False,,gmm_cluster_0
2025-06-25T04:00:00Z,0,0,False,0.002205308652264426,0.004414072368833283,0.9999492464689897,0.9999492464689897,0.0005616698290181457,0.9994887460892149,False,0.9999492464689897,high,False,,gmm_cluster_0
2025-06-26T04:00:00Z,0,0,False,2.171198014100373e-05,4.464372336442038e-05,0.9999709584491308,0.9999709584491308,0.0003416520069675393,0.9996890149414024,False,0.9999709584491308,high,False,,gmm_cluster_0
2025-06-27T04:00:00Z,0,0,False,1.9940532579254544e-05,5.230374165873722e-05,0.99999089898171,0.99999089898171,0.00011522017058507194,0.9998951220810348,False,0.99999089898171,high,False,,gmm_cluster_0
2025-06-30T04:00:00Z,0,0,False,4.26395943364799e-06,8.635287189046281e-06,0.9999866350222764,0.9999866350222764,0.00016358017270161018,0.9998511029101086,False,0.9999866350222764,high,False,,gmm_cluster_0
2025-07-01T04:00:00Z,0,0,False,3.966112807718414e-05,7.938210052902274e-05,0.9999469738941992,0.9999469738941992,0.0005750698494607136,0.9994765488649705,False,0.9999469738941992,high,False,,gmm_cluster_0
2025-07-02T04:00:00Z,0,0,False,6.529231501395394e-05,0.0001305876537064822,0.9998816815791852,0.9998816815791852,0.0011881625907489183,0.9989184878022898,False,0.9998816815791852,high,False,,gmm_cluster_0
2025-07-03T04:00:00Z,0,0,False,8.113678434362726e-05,0.00016227356868734054,0.9999628183635288,0.9999628183635288,0.00041642274933579286,0.9996209556786948,False,0.9999628183635288,high,False,,gmm_cluster_0
2025-07-07T04:00:00Z,0,0,False,3.1688830074760865e-05,6.337857898591907e-05,0.9999945071936036,0.9999945071936036,7.20270945222221e-05,0.9999344381131859,False,0.9999945071936036,high,False,,gmm_cluster_0
2025-07-08T04:00:00Z,0,0,False,5.271600987621916e-06,1.0543201975266221e-05,0.9999997787945912,0.9999997787945912,3.6126201417399134e-06,0.9999967116514361,False,0.9999997787945912,high,False,,gmm_cluster_0
2025-07-09T04:00:00Z,0,0,False,4.206750577884222e-07,8.413501156593523e-07,0.9999993581195334,0.9999993581195334,9.796791889216118e-06,0.9999910825757273,False,0.9999993581195334,high,False,,gmm_cluster_0
2025-07-10T04:00:00Z,0,0,False,3.2602779986845576e-07,6.52055599765847e-07,0.9999996841473333,0.9999996841473333,5.043824803178492e-06,0.9999954089128119,False,0.9999996841473333,high,False,,gmm_cluster_0
2025-07-11T04:00:00Z,0,0,False,5.094084631895868e-08,1.0188169260650569e-07,0.999999633206487,0.999999633206487,5.810835822579512e-06,0.9999947107492948,False,0.999999633206487,high,False,,gmm_cluster_0
2025-07-14T04:00:00Z,0,0,False,2.812775633520559e-07,5.949505322181116e-07,0.9999999144840503,0.9999999144840503,1.5206064687953462e-06,0.9999986158843438,False,0.9999999144840503,high,False,,gmm_cluster_0
2025-07-15T04:00:00Z,0,0,False,8.549601859808575e-08,1.7099203721991638e-07,0.9999999999800689,0.9999999999800689,5.376555739512453e-10,0.9999999995106048,False,0.9999999999800689,high,False,,gmm_cluster_0
2025-07-16T04:00:00Z,0,0,False,2.453104386290761e-11,4.91429150114886e-11,0.9999999999555379,0.9999999999555379,1.1318825045329872e-09,0.9999999989697161,False,0.9999999999555379,high,False,,gmm_cluster_0
2025-07-17T04:00:00Z,0,0,False,4.4021564171714544e-11,8.804328031188369e-11,0.9999999999995595,0.9999999999995595,5.570257872802826e-11,0.9999999999492973,False,0.9999999999995595,high,False,,gmm_cluster_0
2025-07-18T04:00:00Z,0,0,False,3.9390712913700554e-13,7.880096361015164e-13,0.9999999999991656,0.9999999999991656,5.609648585716501e-11,0.9999999999489387,False,0.9999999999991656,high,False,,gmm_cluster_0
2025-07-21T04:00:00Z,0,0,False,1.9939605522267811e-13,3.986279015495532e-13,0.9999999999989662,0.9999999999989662,5.719358818049593e-11,0.9999999999479402,False,0.9999999999989662,high,False,,gmm_cluster_0
